Probe_ID,Symbol,Entrez_Gene_ID,Chromosome,Cytoband
ILMN_1707005,TCF7,6932,5,5q31.1d
ILMN_1707021,LOC643293,643293,X,Xq28b
ILMN_1707051,NFATC1,4772,18,18q23d
ILMN_1707055,GRRP1,79927,1,1p36.11b
ILMN_1707062,REV1,51455,2,2q11.2c
ILMN_1707065,SALL3,27164,18,18q23c
ILMN_1707066,MAGEE2,139599,X,Xq13.3b
ILMN_1707070,PCOLCE,5118,7,7q22.1c
ILMN_1707077,SORT1,6272,1,1p13.3b
ILMN_1707084,UBE2D4,51619,7,7p13e
ILMN_1707088,DENND2D,79961,1,1p13.3a
ILMN_1707095,ZNF180,7733,19,19q13.31b
ILMN_1707107,LOC651476,651476,,
ILMN_1707123,DDX19B,11269,16,16q22.1f
ILMN_1707124,TFPI,7035,2,2q32.1f
ILMN_1707127,F2RL3,9002,19,19p13.11e
ILMN_1707128,KIAA1614,57710,1,1q25.3a
ILMN_1707137,LOC400566,400566,17,17p13.3g
ILMN_1707151,LOC652513,652513,,
ILMN_1707156,LRRFIP2,9209,3,3p22.2b
ILMN_1707169,AGMAT,79814,1,1p36.21a
ILMN_1707173,HIST3H3,8290,1,1q42.13c
ILMN_1707175,NSD1,64324,5,5q35.2d-q35.3a
ILMN_1707181,LOC644284,644284,9,
ILMN_1707199,WDR20,91833,14,14q32.31c
ILMN_1707200,B4GALNT2,124872,17,17q21.32c
ILMN_1707206,LOC646533,646533,2,
ILMN_1707208,LOC643660,643660,10,
ILMN_1707218,LOC643369,643369,21,
ILMN_1707232,EBF3,253738,10,10q26.3b
ILMN_1707236,HCCS,3052,X,Xp22.2
ILMN_1707240,PTBP2,58155,1,1p21.3b
ILMN_1707244,NBPF3,84224,1,1p36.12b
ILMN_1707257,HIST1H3J,8356,6,6p22.1c
ILMN_1707258,UCN,7349,2,2p23.3a
ILMN_1707273,KRTAP10-2,386679,21,21q22.3d
ILMN_1707274,ABI2,10152,,2q33.2a
ILMN_1707277,CCDC144A,9720,17,17p11.2i-p11.2h
ILMN_1707283,LLGL2,3993,,17q25.1c
ILMN_1707286,FLJ22662,79887,12,12p13.1a
ILMN_1707292,C17orf67,339210,17,17q22c
ILMN_1707298,LOC650612,650612,,1p36.11c
ILMN_1707304,KLF1,10661,19,19p13.13c
ILMN_1707308,IKBKG,8517,X,Xq28g
ILMN_1707310,MGLL,11343,3,3q21.3b
ILMN_1707311,CCDC54,84692,3,3q13.12a
ILMN_1707312,NFIL3,4783,9,9q22.31a
ILMN_1707314,PAX3,5077,2,2q36.1b
ILMN_1707318,FLJ40292,643210,9,9q34.3g
ILMN_1707323,PDZRN4,29951,12,12q12d
ILMN_1707326,TASP1,55617,20,20p12.1d
ILMN_1707328,KLRC2,3822,12,12p13.2c
ILMN_1707336,ARPC4,10093,3,3p25.3c
ILMN_1707337,MSTO1,55154,1,1q22b
ILMN_1707339,BTG3,10950,21,21q21.1c
ILMN_1707342,LRIG1,26018,3,3p14.1c
ILMN_1707344,LOC647797,647797,,
ILMN_1707350,TUSC1,286319,9,9p21.2b
ILMN_1707351,OR2D3,120775,11,11p15.4b
ILMN_1707356,CFL2,1073,14,14q13.2a
ILMN_1707368,OPRD1,4985,1,1p35.3a
ILMN_1707370,SLC2A7,155184,1,1p36.23a
ILMN_1707372,RNF187,149603,1,1q42.13c
ILMN_1707380,PRELP,5549,1,1q32.1e
ILMN_1707386,LOC730919,730919,,
ILMN_1707391,STXBP4,252983,17,17q22b
ILMN_1707398,ESRRB,2103,14,14q24.3c
ILMN_1707420,LOC643533,643533,16,16q12.1c
ILMN_1707426,CPLX4,339302,18,18q21.32a
ILMN_1707433,LOC388503,388503,19,19p13.2c
ILMN_1707434,LOC653778,653778,8,
ILMN_1707445,ADRA2C,152,,4p16.2c
ILMN_1707448,CRKRS,51755,17,17q12c
ILMN_1707461,TXNDC8,255220,9,9q31.3b
ILMN_1707464,MST1,4485,3,3p21.31c
ILMN_1707467,CLCN3,1182,4,4q33a
ILMN_1707469,BMP2KL,347359,,Xq13.2c
ILMN_1707475,UBE2E2,7325,3,3p24.3a
ILMN_1707481,BTBD15,29068,11,11q24.3c
ILMN_1707484,GEMIN6,79833,2,2p22.1c
ILMN_1707491,KIAA0125,9834,14,14q32.33d
ILMN_1707493,SNHG3-RCC1,751867,1,1p35.3b
ILMN_1707503,C1orf144,26099,1,1p36.13f
ILMN_1707506,YTHDC1,91746,4,4q13.2b
ILMN_1707513,PGPEP1,54858,19,19p13.11c
ILMN_1707529,ARG99,83857,12,12p11.22a
ILMN_1707534,NKRF,55922,X,Xq24c
ILMN_1707548,RAD18,56852,3,3p25.3d
ILMN_1707551,AFMID,125061,17,17q25.3b
ILMN_1707553,FAM59A,64762,18,18q12.1e
ILMN_1707571,GABRA5,2558,15,15q12b
ILMN_1707578,LOC649320,649320,,
ILMN_1707585,SLC46A2,57864,9,9q32b
ILMN_1707591,TNIP3,79931,4,4q27b-q27c
ILMN_1707592,RGN,9104,X,Xp11.3a
ILMN_1707596,ZNF37A,7587,10,10p11.21a
ILMN_1707598,SNORD14B,NA,11,
ILMN_1707600,WDTC1,23038,1,1p36.11a
ILMN_1707612,FIGF,2277,X,Xp22.2
ILMN_1707627,TPI1,7167,12,12p13.31d
ILMN_1707630,USH3A,7401,3,3q25.1b
ILMN_1707631,MED10,84246,5,5p15.31c
ILMN_1707634,C3orf68,152100,3,3p24.1c
ILMN_1707649,MPDZ,8777,9,9p23a
ILMN_1707652,KRTAP1-5,83895,17,17q21.2a
ILMN_1707659,LOC643275,643275,12,12q13.13a
ILMN_1707660,LOC648174,648174,,
ILMN_1707668,TAS2R42,353164,12,12p13.2b
ILMN_1707670,CLDN16,10686,3,3q28c
ILMN_1707685,LOC730302,730302,,
ILMN_1707686,LOC646713,646713,2,
ILMN_1707689,FAM59B,150946,2,2p23.3b
ILMN_1707690,LOC648517,648517,,
ILMN_1707694,FAM22A,728118,10,10q23.2b
ILMN_1707695,IFIT1,3434,10,10q23.31b
ILMN_1707699,LOC644830,644830,X,
ILMN_1707700,LOC643391,643391,2,
ILMN_1707710,SLC6A13,6540,12,12p13.33d
ILMN_1707713,CIB4,130106,2,2p23.3b
ILMN_1707717,BAALC,79870,8,8q22.3c
ILMN_1707720,SLC1A5,6510,19,19q13.32b
ILMN_1707727,ANGPTL4,51129,19,19p13.2d
ILMN_1707734,NNAT,4826,20,20q11.23b
ILMN_1707741,TBC1D26,353149,17,17p12a
ILMN_1707748,PIM3,415116,,22q13.33a
ILMN_1707760,OR4C15,81309,11,11q11b
ILMN_1707763,ST7,7982,7,7q31.2c
ILMN_1707769,SPDYA,245711,2,2p23.2a
ILMN_1707775,ZNF257,113835,19,19p12c
ILMN_1707780,C6orf165,154313,6,6q15a
ILMN_1707783,CCDC72,51372,3,3p21.31e
ILMN_1707791,TAZ,6901,X,Xq28g
ILMN_1707794,LOC647865,647865,,
ILMN_1707799,DGKK,139189,X,Xp11.22c
ILMN_1707804,SULT1A3,6818,16,16p11.2d
ILMN_1707807,RNF128,79589,X,Xq22.3b
ILMN_1707810,RPS5,6193,19,19q13.43c
ILMN_1707815,SDHALP1,NA,,
ILMN_1707816,ZNF527,84503,19,19q13.12c
ILMN_1707819,RNF126P1,NA,,
ILMN_1707828,UGT1A5,54579,2,2q37.1d
ILMN_1707858,H2AFZ,3015,4,4q23b
ILMN_1707872,RUFY2,55680,10,10q21.3d
ILMN_1707881,NMNAT2,23057,1,1q25.3d
ILMN_1707887,LOC644172,644172,17,17q21.31d
ILMN_1707901,DHRS7B,25979,17,17p11.2b
ILMN_1707904,LOC641518,NA,,
ILMN_1707925,ABHD12B,145447,14,14q22.1c
ILMN_1707930,LOC648050,648050,,
ILMN_1707943,C19orf39,126074,19,19p13.2b
ILMN_1707945,HELB,92797,12,12q14.3b
ILMN_1707951,LOC649143,649143,,
ILMN_1707954,LOC647447,647447,,
ILMN_1707957,LOC644738,644738,3,
ILMN_1707958,AES,166,19,19p13.3f
ILMN_1707965,LOC646345,646345,8,
ILMN_1707968,NBEAL1,65065,2,2q33.2a
ILMN_1707973,LOC650905,650905,,
ILMN_1707975,SERPIND1,3053,22,22q11.21e
ILMN_1707979,INCA,440068,11,11q22.3b
ILMN_1707983,LOC643824,643824,22,
ILMN_1707985,FOXR1,283150,11,11q23.3e
ILMN_1708004,GTSCR1,220158,18,18q22.2b
ILMN_1708006,MICB,4277,6,6p21.33a
ILMN_1708009,LANCL2,55915,7,7p11.2c
ILMN_1708015,LOC51149,51149,5,5q35.3e
ILMN_1708016,C20orf108,116151,20,20q13.2d
ILMN_1708023,LOC399706,399706,10,10p15.3c
ILMN_1708025,RBPMS,11030,8,8p12e
ILMN_1708029,C9orf127,51754,9,9p13.3a
ILMN_1708041,PLEKHF1,79156,19,19q12c
ILMN_1708047,LOC648581,648581,,
ILMN_1708048,LOC442726,442726,,7q34a
ILMN_1708049,LOC390378,390378,13,13q12.11a
ILMN_1708056,ANKRD31,256006,5,5q13.3b
ILMN_1708059,USP13,8975,3,3q26.33a
ILMN_1708064,MAP4,4134,3,3p21.31f
ILMN_1708077,DAXX,1616,6,6p21.32a
ILMN_1708081,LYCAT,253558,2,2p23.1b
ILMN_1708092,LOC732343,732343,,
ILMN_1708093,ARHGEF5,7984,7,7q35a
ILMN_1708095,PANK2,80025,20,20p13b
ILMN_1708098,LIX1L,128077,1,1q21.1b
ILMN_1708101,LMNB2,84823,19,19p13.3g
ILMN_1708103,GAN,8139,16,16q23.2b
ILMN_1708105,EZH2,2146,7,7q36.1a
ILMN_1708107,DPT,1805,1,1q24.2b
ILMN_1708110,TMEM144,55314,4,4q32.1d-q32.1e
ILMN_1708126,LOC653643,653643,15,15q24.2a
ILMN_1708130,EHF,26298,11,11p13c-p13b
ILMN_1708131,BHLHB9,80823,X,Xq22.1e
ILMN_1708132,NUP50,10762,22,22q13.31b
ILMN_1708143,FAM127A,8933,X,Xq26.3a
ILMN_1708145,LOC440748,440748,1,
ILMN_1708147,TBPL1,9519,6,6q23.2d
ILMN_1708151,LAGE3,8270,X,Xq28g
ILMN_1708152,BPIL2,254240,22,22q12.3a
ILMN_1708159,PRKCABP,9463,22,22q13.1b
ILMN_1708160,KPNA2,3838,17,17q24.2b
ILMN_1708164,EIF3A,8661,10,10q26.11c
ILMN_1708167,CDCP1,64866,3,3p21.31k
ILMN_1708174,GGA1,26088,22,22q13.1a
ILMN_1708182,ODF1,4956,8,8q22.3b
ILMN_1708183,PZP,5858,12,12p13.31a
ILMN_1708192,LOC644423,644423,17,
ILMN_1708203,OTUD4,54726,4,4q31.22a
ILMN_1708204,COPG,22820,3,3q21.3c
ILMN_1708214,LOC344967,344967,4,4p14b
ILMN_1708215,LOC652722,652722,,
ILMN_1708223,PAK6,56924,15,15q15.1a
ILMN_1708238,OR52E2,119678,11,11p15.4c
ILMN_1708242,SAR1P3,344988,,4q27b
ILMN_1708243,LOC400095,400095,,
ILMN_1708247,KIAA1245,149013,,
ILMN_1708248,LILRB1,10859,19,19q13.42a
ILMN_1708249,NR1D1,9572,17,17q21.1c
ILMN_1708251,LOC647748,647748,,
ILMN_1708261,SBK1,388228,16,16p11.2e
ILMN_1708267,CLDN15,24146,7,7q22.1d
ILMN_1708270,RHOXF2B,727940,X,Xq24c
ILMN_1708277,C10orf55,414236,10,10q22.2a
ILMN_1708296,DEAF1,10522,,11p15.5d
ILMN_1708298,MGC10701,84744,,
ILMN_1708303,CYP4F22,126410,,19p13.12a
ILMN_1708304,C11orf16,56673,11,11p15.4a
ILMN_1708323,ALAS2,212,X,Xp11.21a
ILMN_1708327,LOC728343,728343,X,Xq22.1d
ILMN_1708328,RAB11FIP3,9727,16,16p13.3f
ILMN_1708337,NOXO1,124056,16,16p13.3e
ILMN_1708340,DAPK1,1612,9,9q21.33c
ILMN_1708341,PDZK1,5174,1,1q21.1b
ILMN_1708345,DNTTIP2,30836,1,1p22.1a
ILMN_1708348,ADAM8,101,10,10q26.3f
ILMN_1708351,LOC123688,123688,15,15q25.1a
ILMN_1708363,LOXL1,4016,15,15q24.1b
ILMN_1708367,LOC649501,649501,,
ILMN_1708369,EPS15L1,58513,19,19p13.11f
ILMN_1708375,IRF1,3659,5,5q31.1b
ILMN_1708381,TBC1D3E,729877,17,17q12c
ILMN_1708382,TMEM103,54859,3,3p21.31g
ILMN_1708391,NR1H4,9971,12,12q23.1d
ILMN_1708393,C1orf185,284546,1,1p32.3e
ILMN_1708398,SLC25A41,284427,19,19p13.3a
ILMN_1708402,NAT1,9,,8p22a
ILMN_1708414,GNL3L,54552,X,Xp11.22a
ILMN_1708416,ARL6IP1,23204,16,16p12.3b
ILMN_1708421,LOC652646,652646,,
ILMN_1708427,KPNA3,3839,13,13q14.3a
ILMN_1708428,GPR150,285601,5,5q15c
ILMN_1708432,PLCB1,23236,20,20p12.3a
ILMN_1708451,DSCR5,51227,21,21q22.13a
ILMN_1708463,UBE2E3,10477,,2q31.3b
ILMN_1708482,TMEM80,283232,11,11p15.5d
ILMN_1708485,BIN3,55909,8,8p21.3a
ILMN_1708486,CNN2,1265,19,19p13.3i
ILMN_1708492,LOC285768,285768,6,
ILMN_1708496,BRSK2,9024,11,11p15.5c-p15.5b
ILMN_1708501,LOC644876,644876,7,
ILMN_1708502,AFF4,27125,5,5q31.1c
ILMN_1708508,PPM1E,22843,17,17q22d
ILMN_1708510,NFATC2IP,84901,16,16p11.2e
ILMN_1708512,LOC645904,645904,22,22q11.23a
ILMN_1708513,BNIPL,149428,1,1q21.2d
ILMN_1708515,LOC652150,652150,,
ILMN_1708516,PRTFDC1,56952,10,10p12.1c
ILMN_1708529,PAPPA2,60676,1,1q25.2a
ILMN_1708533,LOC644291,644291,1,
ILMN_1708534,PAX8,7849,2,2q13d
ILMN_1708535,MGC39545,403312,11,11q24.2b
ILMN_1708537,RBPJ,3516,4,4p15.2b
ILMN_1708538,LOC652850,652850,,
ILMN_1708542,LOC402617,402617,7,
ILMN_1708558,LOC440551,440551,1,1p36.33b
ILMN_1708569,PMCHL2,5370,5,5q13.2b
ILMN_1708570,LOC645681,645681,8,
ILMN_1708580,PDZK1IP1,10158,1,1p33d
ILMN_1708583,OR5L2,26338,11,11q11c
ILMN_1708588,ADCY5,111,3,3q21.1b
ILMN_1708604,C7orf28A,51622,7,7p22.1b
ILMN_1708605,LOC652481,652481,,
ILMN_1708608,LOC441869,441869,,1p36.33a
ILMN_1708611,RDX,5962,11,11q22.3d
ILMN_1708615,TNXB,7148,6,6p21.32b
ILMN_1708618,LOC652499,652499,,
ILMN_1708619,SEH1L,81929,18,18p11.21d
ILMN_1708625,LOC647229,647229,16,16p11.2b
ILMN_1708627,LOC653226,653226,10,10q23.32b
ILMN_1708631,LOC644819,644819,17,
ILMN_1708632,ZNF771,51333,16,16p11.2c
ILMN_1708646,LOC643149,643149,9,
ILMN_1708647,LOC648979,648979,,
ILMN_1708660,RWDD4A,201965,4,4q35.1c
ILMN_1708662,LOC652168,652168,,
ILMN_1708664,LOC644126,644126,2,
ILMN_1708672,ACAT2,39,6,6q25.3f
ILMN_1708686,FLJ36492,284047,17,17p11.2f
ILMN_1708706,LOC652065,652065,,
ILMN_1708709,KIAA1211,57482,,4q12d
ILMN_1708710,GFRAL,389400,6,6p12.1b
ILMN_1708714,C1orf215,149421,1,1p36.11b
ILMN_1708721,RABGAP1L,9910,1,1q25.1a-q25.1b
ILMN_1708728,H2AFJ,55766,12,12p12.3e
ILMN_1708729,LOC653129,653129,10,10q11.21d
ILMN_1708743,NT5DC2,64943,3,3p21.1d
ILMN_1708747,OR6C4,341418,12,12q13.2b
ILMN_1708769,LOC652789,652789,,
ILMN_1708772,OR5B2,390190,11,11q12.1b
ILMN_1708778,ASS1,445,9,9q34.11e
ILMN_1708779,GNLY,10578,2,2p11.2f
ILMN_1708782,MFAP3,4238,5,5q33.2b
ILMN_1708787,ZNF627,199692,19,19p13.2a
ILMN_1708789,RAD50,10111,5,5q31.1b
ILMN_1708790,CA6,765,1,1p36.23a
ILMN_1708798,EAF2,55840,3,3q13.33c
ILMN_1708805,NCOA3,8202,20,20q13.12c
ILMN_1708833,APCS,325,1,1q23.2b
ILMN_1708841,GOLPH3,64083,5,5p13.3c
ILMN_1708845,MTNR1A,4543,4,4q35.2a
ILMN_1708858,CSNK1E,1454,22,22q13.1b
ILMN_1708861,LRRC3B,116135,3,3p24.1d
ILMN_1708881,RAB20,55647,13,13q34a
ILMN_1708886,SEBOX,645832,17,17q11.2a
ILMN_1708890,RASSF4,83937,10,10q11.21c
ILMN_1708891,SCFD2,152579,4,4q12a-q12b
ILMN_1708900,TMEM161A,54929,19,19p13.11b
ILMN_1708901,MAGEA10,4109,X,Xq28e
ILMN_1708903,LOC643278,643278,17,17q25.1d
ILMN_1708905,LOC374443,NA,12,
ILMN_1708906,C2orf29,55571,2,2q11.2e
ILMN_1708907,MEIG1,644890,,10p13c
ILMN_1708916,PDZD4,57595,X,Xq28f
ILMN_1708922,ABL1,25,9,9q34.12a
ILMN_1708925,GALNT9,50614,12,12q24.33c
ILMN_1708929,LOC400163,400163,,
ILMN_1708934,ADM,133,11,11p15.4a
ILMN_1708936,EXOSC3,51010,9,9p13.2a
ILMN_1708941,FLJ44112,374467,12,12q23.1a
ILMN_1708946,VPS4A,27183,16,16q22.1d
ILMN_1708947,LOC649063,649063,,
ILMN_1708950,ASPHD1,253982,16,16p11.2d
ILMN_1708954,NOLA1,54433,4,4q25c
ILMN_1708957,MYBPC1,4604,12,12q23.2a
ILMN_1708959,MFN1,55669,3,3q26.32c
ILMN_1708982,OR10K2,391107,1,1q23.1f
ILMN_1708983,CASC1,55259,12,12p12.1b
ILMN_1708987,HSD11B1L,374875,19,19p13.3b
ILMN_1708989,TBX1,6899,22,22q11.21c
ILMN_1708991,CCNY,219771,10,10p11.21c
ILMN_1709000,LOC649057,649057,,
ILMN_1709004,LOC440092,440092,12,
ILMN_1709006,FLJ41046,400940,2,2p25.2b
ILMN_1709020,MYBL2,4605,20,20q13.12a
ILMN_1709024,C15orf51,NA,15,
ILMN_1709026,C6orf145,221749,,6p25.2a
ILMN_1709032,FYCO1,79443,3,3p21.31i
ILMN_1709033,LOC650509,650509,,
ILMN_1709035,C6orf10,10665,6,6p21.32b
ILMN_1709036,LOC442124,442124,4,4q35.2d
ILMN_1709039,RPL13,6137,16,16q24.3b
ILMN_1709042,RBM4,5936,11,11q13.1e
ILMN_1709043,C9orf46,55848,9,9p24.1c
ILMN_1709044,TGIF2,60436,20,20q11.23a
ILMN_1709050,C11orf63,79864,11,11q24.1b
ILMN_1709054,LOC648237,648237,,8p23.2b
ILMN_1709056,FBXW8,26259,12,12q24.22a
ILMN_1709065,LOC440918,440918,,
ILMN_1709067,SAMD11,148398,1,1p36.33b
ILMN_1709075,OLA1,29789,2,2q31.1f
ILMN_1709085,GSG2,83903,17,17p13.3a
ILMN_1709091,OXGR1,27199,13,13q32.1c
ILMN_1709092,ABCC13,NA,21,
ILMN_1709094,LIFR,3977,5,5p13.1c
ILMN_1709101,AKAP13,11214,15,15q25.3a-q25.3b
ILMN_1709112,CHM,1121,X,Xq21.2a
ILMN_1709114,MAP3K7IP1,10454,22,22q13.1d
ILMN_1709124,TMEM16H,57719,19,19p13.11e
ILMN_1709131,LOC649422,649422,,
ILMN_1709132,ELP2,55250,18,18q12.2a
ILMN_1709135,LOC647546,647546,,
ILMN_1709142,PURA,5813,5,5q31.3a
ILMN_1709153,PRR16,51334,5,5q23.1d
ILMN_1709160,CXorf50,203429,X,Xq13.1e
ILMN_1709162,SHCBP1,79801,16,16q11.2i
ILMN_1709164,RUNDC2C,NA,16,
ILMN_1709167,ADRA1A,148,8,8p21.2a
ILMN_1709173,HMHB1,57824,5,5q32a
ILMN_1709175,LOC442406,442406,,9p21.1b
ILMN_1709177,ITIH5L,347365,X,Xp11.21a
ILMN_1709179,LOC643331,643331,12,
ILMN_1709194,GPR155,151556,2,2q31.1g
ILMN_1709204,CLEC4A,50856,12,12p13.31b
ILMN_1709221,LOC388481,388481,18,
ILMN_1709227,CCDC84,338657,11,11q23.3e
ILMN_1709233,F5,2153,1,1q24.2b
ILMN_1709237,EPHX2,2053,8,8p21.1e
ILMN_1709247,PPP2R1B,5519,11,11q23.1b
ILMN_1709253,KCNK10,54207,14,14q31.3d
ILMN_1709256,PLEC1,5339,8,8q24.3g
ILMN_1709257,DSCR6,53820,21,21q22.13a
ILMN_1709265,RNF170,81790,8,8p11.21a
ILMN_1709267,MKRN3,7681,15,15q11.2d
ILMN_1709269,CDH12,1010,5,5p14.3b-p14.3a
ILMN_1709285,LOC644711,644711,8,8p23.3a
ILMN_1709287,LOC651575,651575,,
ILMN_1709294,CDCA8,55143,1,1p34.3b
ILMN_1709296,MAGEC3,139081,X,Xq27.2a
ILMN_1709300,IL5,3567,5,5q31.1b
ILMN_1709305,LOC651059,651059,,
ILMN_1709307,GPSM1,26086,,9q34.3d
ILMN_1709310,YDD19,11049,,13q12.12b
ILMN_1709312,LOC51152,51152,21,
ILMN_1709313,LOC729408,729408,X,Xp11.23b
ILMN_1709314,FLJ46363,400002,12,12p13.31a
ILMN_1709319,LOC196541,196541,13,13q33.1b
ILMN_1709322,LOC651249,651249,,
ILMN_1709326,LOC23117,23117,16,16p12.2a
ILMN_1709333,OAS2,4939,12,12q24.13b
ILMN_1709334,TM9SF1,10548,14,14q12a
ILMN_1709339,LOC727832,727832,15,15q11.2a
ILMN_1709346,CLTB,1212,5,5q35.2d
ILMN_1709348,ALDH1A1,216,9,9q21.13a
ILMN_1709350,CXCL3,2921,4,4q13.3d
ILMN_1709356,LOC728498,728498,15,15q13.2b
ILMN_1709360,CENTD1,116984,4,4p14f
ILMN_1709367,C12orf25,84070,12,12q13.12c
ILMN_1709370,LOC651617,651617,,
ILMN_1709377,ZNF28,7576,19,19q13.41a
ILMN_1709379,FAM75A1,647060,9,9p13.1a
ILMN_1709395,LOC647955,647955,,
ILMN_1709396,PDCD10,11235,3,3q26.1f
ILMN_1709399,SLC25A34,284723,1,1p36.21a
ILMN_1709408,MASP2,10747,1,1p36.22b
ILMN_1709413,C6orf159,134701,6,6q14.2b
ILMN_1709434,VIT,5212,2,2p22.2b
ILMN_1709439,CHMP1A,5119,16,16q24.3b
ILMN_1709440,CPM,1368,12,12q15b
ILMN_1709451,TFPT,29844,19,19q13.42a
ILMN_1709471,CNTN4,152330,3,3p26.3b-p26.3a
ILMN_1709472,FAM71A,149647,1,1q32.3c
ILMN_1709474,ALMS1,7840,2,2p13.2a
ILMN_1709479,YAP1,10413,11,11q22.1d-q22.2a
ILMN_1709483,MRE11A,4361,11,11q21b
ILMN_1709484,BLM,641,15,15q26.1c
ILMN_1709486,SRPX,8406,X,Xp11.4e
ILMN_1709501,LOC392447,392447,,Xp11.4b
ILMN_1709538,RTEL1,51750,20,20q13.33e
ILMN_1709541,ATP2A1,487,16,16p11.2e
ILMN_1709549,PLEKHM1,9842,,17q21.31d
ILMN_1709570,LOC653093,653093,17,
ILMN_1709571,LOC654126,654126,,
ILMN_1709583,LOC644019,644019,9,9q12i
ILMN_1709584,PRDX2,7001,19,19p13.13c
ILMN_1709590,PGM5,5239,9,9q13a-q13b
ILMN_1709593,EN1,2019,2,2q14.2b
ILMN_1709604,SNORA64,NA,16,
ILMN_1709605,MANEAL,149175,1,1p34.3b
ILMN_1709607,FLJ44881,400661,18,18q23b
ILMN_1709611,PSMA1,5682,11,11p15.2b
ILMN_1709613,IGF1,3479,12,12q23.2a
ILMN_1709615,LOC642343,642343,10,10q11.22d
ILMN_1709623,MAPK7,5598,17,17p11.2e
ILMN_1709626,FAM14B,122509,14,14q32.13a
ILMN_1709630,CCDC107,203260,9,9p13.3a
ILMN_1709634,CMBL,134147,5,5p15.2c
ILMN_1709635,SLC38A11,151258,2,2q24.3b-q24.3c
ILMN_1709637,SLC5A10,125206,,17p11.2e
ILMN_1709645,CBX2,84733,17,17q25.3d
ILMN_1709650,LOC652815,652815,,
ILMN_1709659,TMEM151A,256472,11,11q13.1e
ILMN_1709674,GFPT2,9945,5,5q35.3f
ILMN_1709681,GABRB3,2562,15,15q12b
ILMN_1709683,RASSF2,9770,20,20p13a
ILMN_1709688,LOC652704,652704,,
ILMN_1709707,LOC647499,647499,,
ILMN_1709708,LCE2C,353140,1,1q21.3b
ILMN_1709717,LRRC15,131578,3,3q29c
ILMN_1709719,EDG7,23566,1,1p22.3f
ILMN_1709722,FKSG83,83954,6,6p22.1c
ILMN_1709725,FLJ16165,390928,19,19q13.2a
ILMN_1709728,SLC30A5,64924,5,5q13.2a
ILMN_1709731,PRAMEF1,65121,1,1p36.21d
ILMN_1709734,BMP4,652,14,14q22.2b
ILMN_1709738,FLJ40296,122183,,13q21.1d
ILMN_1709740,TXNDC16,57544,14,14q22.1d
ILMN_1709741,LOC653673,653673,17,
ILMN_1709747,ENDOGL1,9941,3,3p22.2a
ILMN_1709750,SUSD1,64420,9,9q31.3b-q32a
ILMN_1709763,LOC646603,646603,4,4q31.22b
ILMN_1709767,LOC284100,284100,17,17q12c
ILMN_1709768,LOC642769,642769,22,
ILMN_1709772,SNX5,27131,20,20p11.23d
ILMN_1709775,CS,1431,12,12q13.2c
ILMN_1709795,RAC2,5880,22,22q13.1a
ILMN_1709796,AGXT,189,2,2q37.3f
ILMN_1709799,C6orf25,80739,6,6p21.33a
ILMN_1709800,POMZP3,22932,7,7q11.23f
ILMN_1709803,LOC644386,644386,2,
ILMN_1709809,NHP2L1,4809,22,22q13.2a-q13.2b
ILMN_1709814,NMRAL1,57407,16,16p13.3b
ILMN_1709815,PURG,29942,8,8p12e
ILMN_1709817,SLC35A5,55032,3,3q13.2a
ILMN_1709818,LOC643721,643721,12,12q23.3c
ILMN_1709820,AOAH,313,7,7p14.2a
ILMN_1709824,PCDHGB1,56104,5,5q31.3c
ILMN_1709825,WDR89,112840,14,14q23.2b
ILMN_1709847,KCNJ13,3769,2,2q37.1c
ILMN_1709851,TCEA1,6917,8,8q11.23d
ILMN_1709860,UNC45A,55898,15,15q26.1c
ILMN_1709870,HES2,54626,1,1p36.31a
ILMN_1709877,TRIML1,339976,4,4q35.2c
ILMN_1709880,RPLP0,6175,12,12q24.31a
ILMN_1709882,ICK,22858,6,6p12.1d
ILMN_1709891,LOC647074,647074,2,2p15d
ILMN_1709894,CLPX,10845,15,15q22.31b
ILMN_1709900,FLJ44006,400997,2,2q13c
ILMN_1709907,B3GALT2,8707,1,1q31.2b
ILMN_1709910,LOC642602,642602,8,
ILMN_1709919,PLP1,5354,X,Xq22.2a
ILMN_1709925,GPR155,151556,2,2q31.1g
ILMN_1709936,LOC90624,90624,5,5q31.1a
ILMN_1709937,KCNN4,3783,19,19q13.31b
ILMN_1709948,LOC651453,651453,,
ILMN_1709953,DONSON,29980,21,21q22.11c
ILMN_1709968,LOC652054,652054,,
ILMN_1709975,EDA,1896,X,Xq13.1b
ILMN_1710000,PEX11G,92960,19,19p13.2e
ILMN_1710001,RPL41,6171,12,12q13.2c
ILMN_1710017,CD79B,974,17,17q23.3b
ILMN_1710026,RNF133,168433,7,7q31.32a
ILMN_1710027,PNMT,5409,17,17q12c
ILMN_1710052,CPT1A,1374,11,11q13.2b
ILMN_1710064,RDHE2,195814,8,8q12.1b
ILMN_1710070,PCSK6,5046,15,15q26.3d
ILMN_1710075,FAM89A,375061,,1q42.2a
ILMN_1710078,TMEM181,57583,6,6q25.3d
ILMN_1710092,ZBTB46,140685,20,20q13.33e
ILMN_1710111,LOC387940,387940,,
ILMN_1710112,LOC642527,642527,21,
ILMN_1710116,FMNL2,114793,2,2q23.3d
ILMN_1710124,CMTM8,152189,3,3p22.3c
ILMN_1710128,LOC283202,283202,8,
